"序号","网站标识码","网站名称","首页网址","网站主管单位","网站状态"
"42","1100000188","北京市重点站区管理委员会","http://zdzqgw.beijing.gov.cn","北京市重点站区管理委员会办公室","正常"
"43","1100000198","北京市人民防空办公室","http://rfb.beijing.gov.cn/","北京市人民防空办公室","正常"
"44","1100000200","北京市农业农村局","http://nyncj.beijing.gov.cn/","北京市农业农村局办公室","正常"
"45","1100000202","北京市公安局","http://gaj.beijing.gov.cn","北京市公安局办公室","正常"
"46","1100000207","北京市科学技术委员会","http://kw.beijing.gov.cn","北京市科学技术委员会","正常"
"47","1100000211","北京市文化和旅游局","http://whlyj.beijing.gov.cn","北京市文化和旅游局","正常"
"48","1100000224","北京市重大项目建设指挥部办公室","zdb.beijing.gov.cn/","北京市重大项目建设指挥部办公室","正常"
"49","1100000233","北京市公共数据开放平台","https://data.beijing.gov.cn/","北京市经济和信息化局","正常"
"50","1100000238","北京市公园管理中心","http://gygl.beijing.gov.cn","北京市公园管理中心","正常"
"51","1100000239","北京市公共资源交易服务平台","http://ggzyfw.beijing.gov.cn","北京市发展和改革委员会","正常"
"52","1100000241","北京住房公积金管理中心","http://gjj.beijing.gov.cn/","北京住房公积金管理中心","正常"
"53","1100000244","北京市医疗保障局","http://ybj.beijing.gov.cn/","北京市人民政府办公厅","正常"
"54","1100000245","北京市支援合作办公室","http://zyhzb.beijing.gov.cn","北京市人民政府办公厅","正常"
"55","1100000246","北京市药品监督管理局","http://yjj.beijing.gov.cn","北京市药品监督管理局","正常"
"56","1100000247","北京市退役军人事务局","http://tyjrswj.beijing.gov.cn","北京市政务服务管理局","正常"
"57","1100000248","北京市政务服务管理局","http://zwfwj.beijing.gov.cn","北京市人民政府办公厅","正常"
"58","1100000249","北京市机关事务管理局","http://jgj.beijing.gov.cn","北京市机关事务管理局","正常"
"59","1100000250","开放北京","http://open.beijing.gov.cn/","北京市商务局","正常"
"60","1100000251","国际科技创新中心","http://www.ncsti.gov.cn","北京市人民政府办公厅","正常"
"61","1100000252","怀柔科学城","http://hsc.beijing.gov.cn","北京怀柔科学城管理委员会","正常"
"62","1101010020","北京市东城区人民政府","http://www.bjdch.gov.cn","北京市东城区政务服务管理局、东城区科学技术和信息化局","正常"
"63","1101020002","北京市西城区人民政府","http://www.bjxch.gov.cn","北京市西城区科学技术和信息化局","正常"
"64","1101050069","北京市朝阳区人民政府","http://www.bjchy.gov.cn","北京市朝阳区信息化工作办公室","正常"
"65","1101060001","北京市丰台区人民政府","http://www.bjft.gov.cn","北京市丰台区人民政府办公室","正常"
"66","1101070001","北京市石景山区人民政府","http://www.bjsjs.gov.cn/","北京市石景山区人民政府政府办","正常"
"67","1101080016","北京市海淀区人民政府","www.bjhd.gov.cn","海淀区人民政府","正常"
"68","1101090002","北京市门头沟区人民政府","http://www.bjmtg.gov.cn","北京市门头沟区政务服务管理局","正常"
"69","1101110035","北京市房山区人民政府","http://www.bjfsh.gov.cn","房山区人民政府","正常"
"70","1101120001","北京市通州区人民政府","http://www.bjtzh.gov.cn","北京市通州区人民政府","正常"
"71","1101130028","北京市顺义区人民政府","http://www.bjshy.gov.cn","北京市顺义区人民政府办公室","正常"
"72","1101140050","北京市昌平区人民政府","http://www.bjchp.gov.cn/","北京市昌平区人民政府办公室","正常"
"73","1101150005","北京市大兴区人民政府","http://www.bjdx.gov.cn/","北京市大兴区人民政府","正常"
"74","1101160023","北京市怀柔区人民政府","www.bjhr.gov.cn","北京市怀柔区人民政府办公室","正常"
"75","1101170029","北京市平谷区人民政府","http://www.bjpg.gov.cn","北京市平谷区人民政府","正常"
"76","1102280002","北京市密云区人民政府","http://www.bjmy.gov.cn/","北京市密云区人民政府办公室","正常"
"77","1102290032","北京市延庆区人民政府","www.bjyq.gov.cn","北京延庆区人民政府","正常"
"78","1200000001","中共天津市委信访办公室  天津市人民政府信访办公室","http://xf.tj.gov.cn","天津市人民政府信访办公室","正常"
"79","1200000002","天津市人民政府外事办公室  天津市人民政府港澳工作办公室  天津市人民对外友好协会","http://fao.tj.gov.cn","天津市人民政府外事办公室","正常"
"80","1200000003","天津市应急管理局","http://yjgl.tj.gov.cn/","天津市应急管理局","正常"
"81","1200000005","天津市科学技术局政务网","http://kxjs.tj.gov.cn/","天津市科学技术局","正常"
"82","1200000009","天津市教育委员会","http://jy.tj.gov.cn/","天津市教育委员会","正常"
"83","1200000013","天津市人民政府国有资产监督管理委员会","http://sasac.tj.gov.cn/","天津市人民政府国有资产监督管理委员会","正常"
"84","1200000015","天津市发展和改革委员会","http://fzgg.tj.gov.cn","天津市发展和改革委员会","正常"
"85","1200000016","天津市人民政府人民防空办公室","http://rmfk.tj.gov.cn/","天津市人民政府人民防空办公室","正常"
"86","1200000021","天津市统计局","https://stats.tj.gov.cn/","天津市统计局","正常"
"87","1200000022","天津市人力资源和社会保障局","hrss.tj.gov.cn","天津市人力资源和社会保障局","正常"
"88","1200000023","天津市城市管理委员会","http://csgl.tj.gov.cn/","天津市城市管理委员会","正常"
"89","1200000025","天津市体育局","http://ty.tj.gov.cn/","天津市体育局","正常"
"90","1200000026","天津市生态环境局","http://sthj.tj.gov.cn/","天津市生态环境局","正常"
"91","1200000029","天津住建网","http://zfcxjs.tj.gov.cn/","天津市住房和城乡建设委员会","正常"
"92","1200000030","天津市水务局","http://swj.tj.gov.cn","天津市水务局","正常"
"93","1200000032","天津市工业和信息化局","http://gyxxh.tj.gov.cn/","天津市工业和信息化局","正常"
"94","1200000036","天津市地方金融监督管理局","http://jrgz.tj.gov.cn/","天津市地方金融监督管理局","正常"
"95","1200000038","天津市农业农村委员会","http://nync.tj.gov.cn","天津市农业农村委员会","正常"
"96","1200000039","天津市民政局","http://mz.tj.gov.cn/","天津市民政局","正常"
"97","1200000042","天津市知识产权局","http://zscq.tj.gov.cn/","天津市知识产权局","正常"
"98","1200000043","天津市司法局","http://sf.tj.gov.cn ","天津市司法局","正常"
"99","1200000044","天津市文化和旅游局","http://whly.tj.gov.cn","天津市文化和旅游局","正常"
"100","1200000045","天津市卫生健康委员会","http://wsjk.tj.gov.cn/","天津市卫生健康委员会","正常"
"101","1200000047","天津市市场监督管理委员会","scjg.tj.gov.cn","天津市市场监督管理委员会","正常"
"102","1200000050","天津市食品安全网","http://spaq.scjg.tj.gov.cn/","天津市食品安全委员会办公室","正常"
"103","1200000051","天津卫生计生综合监督","http://jd.wsjk.tj.gov.cn","天津市卫生监督所","正常"
"104","1200000052","天津政务网","http://www.tj.gov.cn/","天津市人民政府办公厅","正常"
"105","1200000053","天津市公安局","http://ga.tj.gov.cn","天津市公安局","正常"
"106","1200000055","天津市审计局","http://sj.tj.gov.cn","天津市审计局办公室","正常"
"107","1200000065","天津市商务局","http://shangwuju.tj.gov.cn/","天津市商务局","正常"
"108","1200000067","天津市消防救援总队","http://tj.119.gov.cn","天津市消防救援总队","正常"
"109","1200000074","天津市交通运输委员会","http://jtys.tj.gov.cn","天津市交通运输委员会","正常"
"110","1200000075","天津市人民政府合作交流办公室","hzjl.tj.gov.cn","天津市人民政府合作交流办公室","正常"
"111","1200000077","天津市规划和自然资源局","http://ghhzrzy.tj.gov.cn/","天津市规划和自然资源局","正常"
"112","1200000078","天津市市场主体信用信息公示系统","credit.scjg.tj.gov.cn","天津市市场和质量监督管理委员会","例外"
"113","1200000079","天津市粮食和物资储备局","lswz.tj.gov.cn","天津市粮食和物资储备局","正常"
"114","1200000083","信用中国（天津）","http://credit.fzgg.tj.gov.cn/","天津市发展和改革委员会","正常"
"115","1200000084","天津市民族和宗教事务委员会","http://mzzj.tj.gov.cn","天津市民族和宗教事务委员会","正常"
"116","1200000085","天津市退役军人事务局","http://tyjrswj.tj.gov.cn","天津市人民政府办公厅","正常"
"117","1200000086","天津市医疗保障局","http://ylbz.tj.gov.cn/","天津市人民政府办公厅","正常"
"118","1200000087","天津市机关事务管理局","http://jgsw.tj.gov.cn","天津市人民政府办公厅","正常"
"119","1201010001","和平区政务网","http://www.tjhp.gov.cn","和平区人民政府","正常"
"120","1201020001","天津市河东区人民政府","http://www.tjhd.gov.cn","河东区人民政府","正常"
"121","1201030001","河西政务网","http://www.tjhx.gov.cn","河西区人民政府","正常"
"122","1201040001","天津市南开区人民政府","http://www.tjnk.gov.cn/","南开区人民政府","正常"
"123","1201050001","天津市河北区人民政府","http://www.tjhb.gov.cn","河北区人民政府办公室","正常"
"124","1201060001","天津市红桥区人民政府","http://www.tjhq.gov.cn/","红桥区人民政府办公室","正常"
"125","1201100002","天津市东丽区人民政府门户网站","http://www.tjdl.gov.cn","天津市东丽区人民政府","正常"
"126","1201110001","西青区政府门户网站","http://www.tjxq.gov.cn/","西青区人民政府办公室","正常"
"127","1201120001","天津市津南区人民政府","http://www.tjjn.gov.cn","天津市津南区人民政府","正常"
"128","1201130001","天津·北辰","http://www.tjbc.gov.cn/","北辰区人民政府","正常"
"129","1201140001","武清政务网","https://www.tjwq.gov.cn/","武清区人民政府办公室","正常"
"130","1201150008","天津市宝坻区人民政府","http://www.tjbd.gov.cn","宝坻区人民政府","正常"
"131","1201160001","天津市滨海新区人民政府网","http://www.tjbh.gov.cn","天津市滨海新区人民政府办公室","正常"
"132","1201160007","天津市滨海新区教育体育局网站","http://jtj.tjbh.gov.cn/","滨海新区教育体育局","正常"
"133","1201160009","天津港保税区 中国（天津）自由贸易试验区天津机场片区","www.tjftz.gov.cn","天津港保税区管理委员会办公室","正常"
"134","1201160010","中新天津生态城门户网站","www.eco-city.gov.cn","中新天津生态城管理委员会办公室","正常"
"135","1201160016","天津市滨海新区人民政府生态环境局网站","http://sthjj.tjbh.gov.cn/","滨海新区生态环境局","正常"
"136","1201160017","天津市滨海新区人力社保局网站","http://rsj.tjbh.gov.cn/","滨海新区人力资源和社会保障局","正常"
"137","1201160018","中国（天津）自由贸易试验区官网","http://www.china-tjftz.gov.cn","中国（天津）自由贸易试验区管理委员会办公室","正常"
"138","1201160022","天津市滨海新区人民政府司法局网站","http://sfj.tjbh.gov.cn/","天津市滨海新区司法局","正常"
"139","1201160029","天津市滨海新区统计局网站","http://tjj.tjbh.gov.cn/","滨海新区统计局","正常"
"140","1201160030","天津市滨海新区财政局网站","http://czj.tjbh.gov.cn","滨海新区财政局","正常"
"141","1201160033","天津东疆综合保税区","https://www.dongjiang.gov.cn","天津东疆综合保税区党建工作部","正常"
"142","1201160034","天津市滨海新区国资委网站","http://gzw.tjbh.gov.cn/","滨海新区国有资产监督管理委员会","正常"
"143","1201160038","天津市滨海新区住房和建设委员会网站","http://zjw.tjbh.gov.cn/","滨海新区住房和建设委员会","正常"
"144","1201160041","天津市滨海新区商务和投资促进局网站","scj.tjbh.gov.cn","滨海新区商务和投资促进局","正常"
"145","1201160042","天津滨海新区民政局","http://mzj.tjbh.gov.cn/","滨海新区民政局","正常"
"146","1201160043","天津市滨海新区卫生健康委员会网站","http://wjw.tjbh.gov.cn/","滨海新区卫生和计划生育委员会","正常"
"147","1201160047","天津市滨海新区公安局网站","http://gaj.tjbh.gov.cn/","滨海新区公安局","正常"
"148","1201160049","滨海新区人民政府政务服务办公室网站","http://zwb.tjbh.gov.cn/","天津市滨海新区政府政务服务办公室","例外"
"149","1201160051","天津市滨海新区文化和旅游局网站","http://wlj.tjbh.gov.cn/","天津市滨海新区文化和旅游局","正常"
"150","1201160056","天津市滨海新区发改委网站","http://fgw.tjbh.gov.cn/","滨海新区发展和改革委员会","正常"
"151","1201160057","天津市滨海新区人民政府工业和信息化局网站","http://gxj.tjbh.gov.cn/","滨海新区工业和信息化局","正常"
"152","1201160058","天津市滨海新区应急管理局","http://yjglj.tjbh.gov.cn/","天津市滨海新区应急管理局","正常"
"153","1201160062","天津经济技术开发区管理委员会政务服务平台","https://www.teda.gov.cn","天津经济技术开发区管理委员会","正常"
"154","1201160063","天津滨海高新技术产业开发区政务网","http://www.tht.gov.cn/","天津滨海高新技术产业开发区管理委员会","正常"
"155","1201160066","天津市滨海新区农业农村委员会网站","http://nyncw.tjbh.gov.cn/","滨海新区农村工作委员会","正常"
"156","1201160067","天津市滨海新区审计局网站","http://sjj.tjbh.gov.cn/","滨海新区审计局","正常"
"157","1201160080","天津市滨海新区市场监督管理局网站","http://scjgj.tjbh.gov.cn","天津市滨海新区市场监督管理局","正常"
"158","1202210001","天津市宁河区政务网","http://www.tjnh.gov.cn","宁河区人民政府","正常"
"159","1202230010","静海政务公众信息网","http://www.tjjh.gov.cn/","天津市静海区人民政府办公室","正常"
"160","1202250001","蓟州政务网","http://www.tjjz.gov.cn/","天津市蓟州区人民政府","正常"
"161","12BM010001","天津市财政局","http://cz.tj.gov.cn","天津市财政局","正常"
"162","12BM010004","天津市政府采购网","http://tjgp.cz.tj.gov.cn","天津市财政局","正常"
"163","12BM010005","天津会计","http://tjkj.cz.tj.gov.cn","天津市财政局","正常"
"164","12BM050001","天津市人民政府政务服务办公室","http://zwfwb.tj.gov.cn/","天津市人民政府政务服务办公室","正常"
"165","12BM050003","天津便民服务专线平台","http://bmzx.zwfwb.tj.gov.cn/","天津市人民政府政务服务办公室","例外"
"166","1300000001","河北省林业和草原局","lycy.hebei.gov.cn","河北省林业和草原局","正常"
"167","1300000002","河北省司法厅","http://sft.hebei.gov.cn","省司法厅宣传中心","正常"
"168","1300000003","河北省工业和信息化厅","gxt.hebei.gov.cn","河北省工业和信息化厅","正常"
"169","1300000004","河北省广播电视局","http://rta.hebei.gov.cn","河北省广播电视局","正常"
"170","1300000005","河北省人民政府研究室","http://yjs.hebei.gov.cn","河北省人民政府研究室","正常"
"171","1300000006","河北省统计局","http://tjj.hebei.gov.cn/","河北省统计局新闻宣传办公室","正常"
"172","1300000007","河北省民族事务委员会","http://mw.hebei.gov.cn/","河北省民族事务委员会","正常"
"173","1300000010","河北省人民政府外事办公室","http://hebwb.hebei.gov.cn","河北省人民政府外事办公室","正常"
"174","1300000011","河北省科学技术厅","http://www.hebstd.gov.cn","河北省科学技术厅","正常"
"175","1300000012","河北省人力资源和社会保障厅","http://rst.hebei.gov.cn/index.html","河北省人力资源和社会保障厅","正常"
"176","1300000013","河北省人民政府（中国河北）","www.hebei.gov.cn","河北省人民政府办公厅","正常"
"177","1300000014","河北省交通运输厅","http://jtt.hebei.gov.cn/","河北省交通宣传中心","正常"
"178","1300000020","河北省水利厅","http://slt.hebei.gov.cn/","河北省水利厅","正常"
"179","1300000023","河北省公安厅","http://gat.hebei.gov.cn","河北省公安厅政治部宣传处","正常"
"180","1300000025","河北省住房和城乡建设厅","http://zfcxjst.hebei.gov.cn/","河北省住房和城乡建设厅","正常"
"181","1300000026","河北省应急管理厅","http://yjgl.hebei.gov.cn","河北省应急管理厅","正常"
"182","1300000027","河北省生态环境厅","http://hbepb.hebei.gov.cn/   ","河北省生态环境厅","正常"
"183","1300000031","河北省农业农村厅","http://nync.hebei.gov.cn/","河北省农业农村厅","正常"
"184","1300000032","河北省文化和旅游厅","http://whly.hebei.gov.cn/","河北省文化和旅游厅","正常"
"185","1300000033","河北省卫生健康委员会","http://wsjkw.hebei.gov.cn/","河北省卫生健康委员会","正常"
"186","1300000034","河北省审计厅","sjt.hebei.gov.cn","河北省审计厅","正常"
"187","1300000037","河北省人民政府国有资产监督管理委员会","http://hbsa.hebei.gov.cn","河北省人民政府国有资产监督管理委员会","正常"
"188","1300000038","河北省药品监督管理局","http://yjj.hebei.gov.cn","河北省药品监督管理局","正常"
"189","1300000039","河北省体育局","http://sport.hebei.gov.cn","河北省体育局","正常"
"190","1300000043","河北省粮食和物资储备局","http://lswz.hebei.gov.cn/","河北省粮食和物资储备局","正常"
"191","1300000044","河北省自然资源厅","http://zrzy.hebei.gov.cn/","河北省自然资源厅","正常"
"192","1300000045","河北省市场监督管理局","http://scjg.hebei.gov.cn/","河北省工商行政管理局宣传中心","正常"
"193","1300000047","河北省财政厅","http://czt.hebei.gov.cn/","河北省财政厅信息中心","正常"
"194","1300000048","河北省机关事务管理局","http://swj.hebei.gov.cn/","河北省机关事务管理局","正常"
"195","1300000049","河北省人民防空办公室","srfb.hebei.gov.cn","河北省人民防空办公室","正常"
"196","1300000054","河北省教育厅","http://jyt.hebei.gov.cn/","河北省教育厅","正常"
"197","1300000057","河北省发展和改革委员会","http://hbdrc.hebei.gov.cn/","河北省发展和改革委员会","正常"
"198","1300000058","河北省商务厅","http://swt.hebei.gov.cn/","河北省商务厅","正常"
"199","1300000060","河北省民政厅","http://minzheng.hebei.gov.cn/","河北省民政厅","正常"
"200","1300000063","河北省乡村振兴局","fp.hebei.gov.cn","河北省乡村振兴局","正常"
"201","1300000065","河北省政府采购网","http://www.ccgp-hebei.gov.cn/zfcg/","河北省政府采购办公室","正常"
"202","1300000066","河北省文物局","http://wenwu.hebei.gov.cn/","河北省文物局","正常"
"203","1300000072","河北省监狱管理局","http://jygl.hebei.gov.cn","河北省监狱管理局","正常"
"204","1300000074","河北省政务服务管理办公室门户网站","http://ggzy.hebei.gov.cn/","河北省公共资源交易监督办公室","正常"
"205","1300000075","河北政务服务网","http://zwfw.hebei.gov.cn/","河北省政务服务管理办公室","正常"
"206","1300000076","信用河北","http://xy.hebei.gov.cn","河北省政务服务管理办公室","正常"
"207","1300000079","河北省省直住房资金中心","http://szgjj.hebei.gov.cn","河北省机关事务管理局住房资金中心","正常"
"208","1300000080","河北省人民政府参事室","http://css.hebei.gov.cn","河北省人民政府","正常"
"209","1300000081","河北省医疗保障局","http://ylbzj.hebei.gov.cn","无","正常"
"210","1300000082","河北省退役军人事务厅","http://tyjrswt.hebei.gov.cn","河北省退役军人事务厅","正常"
"211","1300000083","中国（河北）自由贸易试验区","http://ftz.hebei.gov.cn","河北省商务厅","正常"
"212","1300000084","河北省地方金融监督管理局","http://dfjr.hebei.gov.cn/","河北省地方金融监督管理局","正常"
"213","1301000002","石家庄市农业农村局","http://nyncj.sjz.gov.cn","石家庄市农业农村局","正常"
"214","1301000003","石家庄市人民政府","http://www.sjz.gov.cn/","石家庄市人民政府办公室","正常"
"215","1301000005","石家庄市文化广电和旅游局","http://wglj.sjz.gov.cn","石家庄市文化广电和旅游局","正常"
"216","1301000006","石家庄市商务局","http://swj.sjz.gov.cn","石家庄市商务局","正常"
"217","1301000009","石家庄市交通运输局","http://jtj.sjz.gov.cn","石家庄市交通运输局","正常"
"218","1301000010","石家庄综合保税区管委会","http://www.sjzzhbsq.gov.cn/","石家庄综合保税区管委会","正常"
"219","1301000011","石家庄市司法局","http://sfj.sjz.gov.cn/","石家庄市司法局","正常"
"220","1301000012","石家庄市自然资源和规划局","http://zrghj.sjz.gov.cn/","石家庄市自然资源和规划局","正常"
"221","1301000013","石家庄高新技术产业开发区管理委员会","http://www.shidz.gov.cn","石家庄国家高新技术产业开发区管委委员会","正常"
"222","1301000015","石家庄市民政局","http://mzj.sjz.gov.cn","石家庄市民政局","正常"
"223","1301000016","石家庄市林业局","http://lyj.sjz.gov.cn","石家庄市林业局","正常"
"224","1301000017","石家庄市水利局","http://slj.sjz.gov.cn/","石家庄市水利局","正常"
"225","1301000019","石家庄住房和城乡建设局","http://zjj.sjz.gov.cn","石家庄住房和城乡建设局","正常"
"226","1301000023","石家庄市生态环境局","http://sthjj.sjz.gov.cn/","石家庄市环境信息中心","正常"
"227","1301000024","石家庄市卫生健康委员会","http://wsjk.sjz.gov.cn/","石家庄市卫生健康委员会","正常"
"228","1301000025","石家庄市科学技术局","http://kjj.sjz.gov.cn/","石家庄市科学技术局","正常"
"229","1301000029","石家庄市统计局","http://tjj.sjz.gov.cn","石家庄统计局","正常"
"230","1301000031","石家庄市城市管理综合行政执法局","http://cgj.sjz.gov.cn/","石家庄市城市管理综合行政执法局","正常"
"231","1301000034","石家庄市工业和信息化局","http://gxj.sjz.gov.cn/","石家庄市工业和信息化局","正常"
"232","1301000035","石家庄市公安局","http://gaj.sjz.gov.cn","石家庄市公安局政治部宣传处","正常"
"233","1301000036","石家庄市发展和改革委员会","http://fgw.sjz.gov.cn","石家庄市发展和改革委员会","正常"
"234","1301000037","石家庄市人力资源和社会保障局","http://rsj.sjz.gov.cn","石家庄市人力资源和社会保障局","正常"
"235","1301000038","石家庄市体育局","http://tyj.sjz.gov.cn//","石家庄市体育局","正常"
"236","1301000039","石家庄市市场监督管理局","http://scjg.sjz.gov.cn","石家庄市市场监督管理局","正常"
"237","1301000040","石家庄市园林局","http://ylj.sjz.gov.cn","石家庄市园林局","正常"
"238","1301000042","石家庄市人民政府国有资产监督管理委员会","http://gzw.sjz.gov.cn","石家庄市国资委信息中心","正常"
"239","1301000046","石家庄市应急管理局","http://yjglj.sjz.gov.cn","石家庄市应急管理局","正常"
"240","1301000048","石家庄市教育局","http://sjzjyj.sjz.gov.cn/","石家庄市教育局","正常"
"241","1301000058","河北石家庄循环化工园区管理委员会","http://www.sjzxhhgyq.gov.cn/","石家庄循环化工园区管委会","正常"
"242","1301000061","石家庄市行政审批局","http://xzspj.sjz.gov.cn/","石家庄市行政审批局","正常"
"243","1301000062","石家庄市投资促进局","http://tzcjj.sjz.gov.cn/","石家庄市投资促进局","正常"
"244","1301000064","石家庄市退役军人事务局","http://tyjrswj.sjz.gov.cn","石家庄市退役军人事务局办公室","正常"
"245","1301000065","石家庄市人民政府外事办公室","http://wsb.sjz.gov.cn/","石家庄市人民政府办公室","正常"
"246","1301000066","石家庄市医疗保障局","http://ylbzj.sjz.gov.cn","石家庄市人民政府办公室","正常"
"247","1301000067","信用石家庄","https://credit.sjz.gov.cn/","石家庄市人民政府办公室","正常"
"248","1301000068","石家庄经济技术开发区管理委员会","http://www.sjzjjjskfq.gov.cn","石家庄经济技术开发区管理委员会","正常"
"249","1301020001","石家庄市长安区人民政府","http://www.sjzca.gov.cn/","石家庄市长安区网络中心","正常"
"250","1301040001","石家庄市桥西区人民政府","http://www.sjzqx.gov.cn","石家庄市桥西区人民政府办公室","正常"
"251","1301050001","石家庄市新华区人民政府","http://www.xhqsjz.gov.cn","石家庄市新华区人民政府办公室","正常"
"252","1301070001","石家庄市井陉矿区人民政府","http://www.sjzkq.gov.cn/","中共井陉矿区委办公室","正常"
"253","1301080001","石家庄市裕华区人民政府","http://www.yuhuaqu.gov.cn/","裕华区政府办公室","正常"
"254","1301210001","井陉县人民政府","http://www.sjzjx.gov.cn/","井陉县人民政府办公室","正常"
"255","1301230003","正定县人民政府","http://www.zd.gov.cn","正定县人民政府办公室","正常"
"256","1301240002","栾城区人民政府","http://www.luancheng.gov.cn","石家庄市栾城区信息中心","正常"
"257","1301250001","行唐县人民政府","www.xingtang.gov.cn","行唐县人民政府办公室","正常"
"258","1301260001","灵寿县人民政府","http://www.lingshou.gov.cn","灵寿县人民政府办公室","正常"
"259","1301270001","高邑县人民政府","http://www.gyx.gov.cn/","高邑县人民政府办公室","正常"
"260","1301280001","深泽县人民政府","http://www.shenze.gov.cn/","深泽县政府办公室","正常"
"261","1301290001","赞皇县人民政府","http://www.zanhuang.gov.cn/","赞皇县人民政府办公室","正常"
"262","1301300001","无极县人民政府","http://www.wuji.gov.cn","无极县政府信息中心","正常"
"263","1301310002","平山县人民政府","http://www.sjzps.gov.cn/","平山县人民政府办公室","正常"
"264","1301320001","元氏县人民政府","www.yuanshi.gov.cn","元氏县人民政府办公室","正常"
"265","1301330001","赵县人民政府","www.zhaoxian.gov.cn","赵县人民政府办公室","正常"
"266","1301810003","辛集市人民政府","https://www.xinji.gov.cn","辛集市人民政府办公室","正常"
